text,author_id,conversation_id,created_at,source,tweet_id,geo_id,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_type,referenced_id
nao aguento mais chorar e me humilhar o dia inteiro nessa cama pareço um buda eu estava tao linda antes do covid agora estou feia baranga endividada toda cheia de problemas de saude e financeiros sinto falta dos dias antigos caras... queria dormir no colinho do cap*ta https://t.co/RrdFN8oUc5,1126032702,1336028351648194561,2020-12-07 19:22:35,Twitter for Android,1336028351648194561,660da292cca0c39a,0.0,0.0,1.0,0.0,,,
engraçadissimo como ter pegado covid me converteu ao novo orgulho da oms,1126032702,1340698824910786567,2020-12-20 16:41:23,Twitter for Android,1340698824910786567,660da292cca0c39a,0.0,1.0,0.0,0.0,,,
coitada essa dai nem o covid quis levar (eu mesma,1126032702,1341936228086775816,2020-12-24 02:38:23,Twitter for Android,1341936228086775816,660da292cca0c39a,0.0,0.0,1.0,0.0,,,
"#LulaPresidente2022
Começa a Cair os PRÍNCIPES DO FASCIMO NEGACIONISTA ADPTO DA CLOROQUINA E IVERMECTINA NO BRASIL DO GENOCIDIO!🙏🙏🙏
- FOI PARA O SACO!😏
https://t.co/7ujSTgtx0o",50467877,1372691854974668807,2021-03-18 23:30:16,Twitter for Android,1372691854974668807,d100eefe651e2a8e,1.0,0.0,1.0,0.0,,,
"Infelizmente, Nossos destinos estam nas Mãos deste Mau Elemento!

👉🏿 Se Cuidem, CORONA VÍRUS, MATA!!! https://t.co/8pscbYV3g7",50467877,1338470892452589568,2020-12-14 13:08:23,Twitter for Android,1338470892452589568,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#ForaBolsonaroGenocida
👉🏿 Cadê a CONSTELAÇÃO DE OFICIAIS GENERAIS ALMIRANTES E BRIGADEIROS E FORÇAS AUXILIARES DA INTELIGÊNCIA DE SEGURANÇA DO BRASIL, QUE NÃO IMPÕE UMA RESTRIÇÃO MINIMA NOS NOSSOS AEROPORTOS???
https://t.co/1Pm1BiiQJO",50467877,1341024353861980163,2020-12-21 14:14:55,Twitter for Android,1341024353861980163,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#LulaPresidente2022 

Assistir o Mundo em que FAZIAMOS PARTE COM O CORRUPTO PT NO PODER, APLICANDO A VACINA CONTRA O COVID-19 NA POPULAÇÃO, DOI MUITO!🤔😏😢 https://t.co/Z1XnYCGSO5",50467877,1342837126497447937,2020-12-26 14:18:14,Twitter for Android,1342837126497447937,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#ForaBolsonaroGenocida 
Assistir o Mundo em que FAZIAMOS PARTE COM O CORRUPTO PT NO PODER, APLICANDO A VACINA CONTRA O COVID-19 NA POPULAÇÃO, DOI MUITO!🤔😏😢 https://t.co/apkZsmjMJ9",50467877,1342836884830097409,2020-12-26 14:17:16,Twitter for Android,1342836884830097409,d100eefe651e2a8e,0.0,0.0,0.0,0.0,47743856,,
"#LulaPresidente2022

Se Cuidem COMPANHEIROS, estamos por Conta Própria, Sem Governante(🤡), Vacinas a CONTA GOTAS, e COVID-19 A TODO VAPOR, E AS VIDAS SE EVAPORANDO ACELERADAMENTE! https://t.co/CPRTJt0m6m",50467877,1375786995935539201,2021-03-27 12:29:15,Twitter for Android,1375786995935539201,d100eefe651e2a8e,0.0,0.0,0.0,0.0,,,
"#ForaBolsonaroGenocida 
Assistir o Mundo em que FAZIAMOS PARTE COM O CORRUPTO PT NO PODER, APLICANDO A VACINA CONTRA O COVID-19 NA POPULAÇÃO, DOI MUITO!🤔😏😢 https://t.co/apkZsmjMJ9",50467877,1342836884830097409,2020-12-26 14:17:16,Twitter for Android,1342836884830097409,d100eefe651e2a8e,0.0,0.0,0.0,0.0,87296987,,
